YF_Symbol,SC_NAME
505412.BO,WENDT(INDIA)
505509.BO,RESPON IND  
505515.BO,SHYAMKAM INV
505523.BO,MAHA CORP   
505526.BO,DOLATALGO   
505533.BO,WESTLIFE    
505537.BO,ZEE ENTER   
505590.BO,SVPGLOB     
505650.BO,SKYL MILLAR 
505681.BO,BIMETAL BEAR
505688.BO,BHARAT GEARS
505690.BO,BRADY MORRIS
505693.BO,LATIMMETAL  
505700.BO,ELECON ENG  
505710.BO,GRAUER& WEIL
505712.BO,HIMTEK      
505714.BO,GABRIEL(I)  
505720.BO,HERC.HOISTS 
505725.BO,AQFINTECH   
505726.BO,IFB IND.LTD.
505729.BO,SINGER INDIA
505737.BO,INTER.COMBUS
505744.BO,FED MOG GOE 
505750.BO,JOSTS ENG.  
505790.BO,SCHAEFFLER  
505797.BO,MIPCO SEAM. 
505800.BO,RANE HOLDIN 
505807.BO,ROLCON ENGG.
505827.BO,SNL BEARINGS
505840.BO,JAIPAN INDUS
505850.BO,MANCREDIT   
505854.BO,TRF LTD.    
505872.BO,WPIL LTD.   
505890.BO,KENNAMETAL  
505893.BO,HINDHARD    
505978.BO,TRITON VALVE
506003.BO,SUDAL INDUS 
506022.BO,PRAKASH IND.
506074.BO,ARSHIYA     
506076.BO,GRIND NORTON
506079.BO,LAKSHMI PREC
506105.BO,STANROSE MAF
506109.BO,GENESYS INT.
506122.BO,PANKAJPIYUS 
506128.BO,PARNAXLAB   
506134.BO,INTELL CAP  
506146.BO,VISAGAR POL 
506184.BO,KANANI IND  
506186.BO,GCKL        
506194.BO,ARIH SUPER  
506197.BO,BLISSGVS PH 
506222.BO,STYRENIX    
506235.BO,ALEMBIC LTD.
506248.BO,AMINES&PLAST
506260.BO,ANUH PHARMA 
506261.BO,MODISONLTD  
506285.BO,BAYER CROP  
506365.BO,CHEMO PHARMA
506390.BO,HEUBACHIND  
506395.BO,COROM INTER 
506401.BO,DEEPAK NITR.
506405.BO,DMCC        
506414.BO,FERMENTA    
506480.BO,GOCLCORP    
506520.BO,JAYSHRI CHEM
506525.BO,KANORIA CHEM
506528.BO,KELTECH EN. 
506532.BO,NITTA GELA  
506543.BO,M.P.AGRO IND
506579.BO,ORIENT.CARB.
506590.BO,PCBL        
506597.BO,AMAL PRODUCT
506605.BO,POLYCHEM    
506618.BO,PUN.CHEM    
506640.BO,GUJCHEM DIST
506642.BO,SADHANA NITR
506655.BO,SUDARSH.CHEM
506680.BO,TECIL CHEM. 
506685.BO,ULTRAMARINE 
506687.BO,TRANSPEK    
506690.BO,UNICHEM LAB 
506734.BO,MYS PETRO   
506767.BO,ALKYL AMINES
506808.BO,TUTIALKA    
506820.BO,ASTRAZEN.PH.
506852.BO,PRIMO       
506854.BO,TANFAC IND. 
506858.BO,GUJ.PETRO   
506863.BO,SWADESHI IND
506879.BO,GUJ.THEMIS. 
506906.BO,SCBL        
506910.BO,JAYSN DYEST 
506919.BO,MAKERS LAB. 
506935.BO,CONT.CHEM   
506943.BO,J.B.CHEMICAL
506979.BO,APT PACK    
506981.BO,BL.CHIP TEX 
507155.BO,JAGATJIT IND
507180.BO,KESAR ENT.  
507205.BO,TILAKNAG IND
507265.BO,EMERALL     
507300.BO,RAVALGAON   
507315.BO,SAKTHI SUGAR
507410.BO,WALCHANDNGR 
507435.BO,KHOD.INDIA  
507438.BO,IFB AGRO    
507474.BO,KOTHARI FERM
507486.BO,CAPROLA.CHEM
507488.BO,G.M.BREWERI 
507490.BO,RANA SUGARS 
507498.BO,PICCADILY SU
507514.BO,SOM DISTILL.
507515.BO,CJ GELATIN  
507526.BO,ASSO.ALCOHOL
507552.BO,FOODS & INNS
507580.BO,IVP LIMITED 
507598.BO,KLRFM       
507621.BO,MILKFOOD    
507645.BO,POLSON LTD. 
507685.BO,WIPRO LTD.  
507690.BO,ORIENT BEVER
507717.BO,DHAN AGRI   
507747.BO,TTK HEALTHCA
507753.BO,TGVSL       
507759.BO,LIME CHEM.  
507779.BO,KANPUR PLAST
507785.BO,TAINWALA CH.
507789.BO,JAGSON PHAR 
507794.BO,KHAITAN CHEM
507813.BO,NATI. OXYGEN
507815.BO,GILLETTE (I)
507817.BO,WIRES FABRIK
507828.BO,ANSALHSG    
507833.BO,COMPUTER PNT
507836.BO,MAC CHARLES 
507852.BO,ADDI IND.   
507864.BO,PION INVEST 
507872.BO,ASHNOOR TEX.
507878.BO,UNITECH LTD 
507880.BO,VIP INDUS.  
507910.BO,FIBERWB IN  
507912.BO,LKP FIN     
507944.BO,BAJAJ STEEL 
507946.BO,KIDUJA INDIA
507948.BO,KEY CORP.LTD
507960.BO,GUJ.HOTELS  
507966.BO,RAS RESORTS 
507970.BO,PARA. COSMET
507981.BO,JINDAL HOTL 
507998.BO,SIMMONDS-MAR
508136.BO,BNALTD      
508486.BO,HAWKINS COOK
508494.BO,WARREN TEA  
508571.BO,COCHIN MALA 
508664.BO,BEST E.HOTEL
508670.BO,NEELAMALAI  
508807.BO,IST LTD.    
508814.BO,COSMOFIRST  
508860.BO,DIAMANT     
508869.BO,APOLLO HOSP.
508875.BO,NITINCAST   
508905.BO,SMIFS CAPITA
508906.BO,EVEREST INDS
508918.BO,IRONWOOD    
508922.BO,MSR INDIA   
508933.BO,AYMSYNTEX   
508941.BO,PANASON CAR 
508954.BO,FINKURVE    
508956.BO,HB LEAS.PUB 
508963.BO,STERL.GUARA.
508969.BO,SULABH ENG. 
508980.BO,FRONTCAP    
508989.BO,NAVNETEDUL  
508996.BO,SATPROP LTD 
509009.BO,AUSOM ENT   
509020.BO,RUCHI INFRA.
509038.BO,VOLTAIR LEAS
509040.BO,NETLINK SOLU
509048.BO,LANCOR HOLDS
509051.BO,INDIAN INFO.
509053.BO,BANAS FIN.  
509055.BO,VISAKA IND. 
509069.BO,INFOMEDIA   
509073.BO,HATHWAY BHAW
509077.BO,PRESSMN     
509079.BO,GUFIC BIO SC
509084.BO,PHOTON CAP  
509152.BO,GRPLTD      
509162.BO,INDAG RUBBER
509196.BO,M.M.RUBBER  
509220.BO,PTL LTD     
509243.BO,TVS SRICHAKR
509423.BO,SEL         
509438.BO,BENARES HOT 
509449.BO,BHAGWATI OXY
509470.BO,BOMOXY-B1   
509472.BO,CRAVATEX    
509480.BO,BERGE PAINT 
509486.BO,CAPRIHANS   
509488.BO,GRAPHITE IN.
509496.BO,ITDCEM      
509525.BO,EMPIRE IND. 
509546.BO,GRAVISS HOSP
509557.BO,GARFIBRES   
509563.BO,GARWA.MARINE
509567.BO,GOA CARBON  
509597.BO,HARDCASTLE  
509631.BO,HEG LIMITED 
509635.BO,HIND.COMPOSI
509675.BO,HIL         
509692.BO,IND.CARD    
509709.BO,INT.CONVEYOR
509715.BO,JAYSHRE TEA 
509760.BO,MODERN SHARE
509820.BO,HUHTAMAKI   
509835.BO,PREMIER SYN.
509874.BO,SHALIMAR PAI
509895.BO,HIND MILLS  
509930.BO,SUPREM IND  
509945.BO,THACKER     
509960.BO,U.P.HOTELS  
509966.BO,VST INDUS.  
510245.BO,SWASTI VINAY
511000.BO,MADHUS.SEC  
511012.BO,YAMINI INVES
511016.BO,PREMIER CAP.
511018.BO,MILGREY FIN 
